property_id,property_name,listing_type,price_zar,price_tier,review_count,demand_score,url,ingested_at
74554.0,At Kronenhof Lodge,Lodge,800.0,Mid-Range,12.0,1.11,https://www.lekkeslaap.co.za/accommodation/at-kronenhof-lodge,2026-06-27T11:22:33.756257
81473.0,Bly in Styl,Self Catering,1700.0,Premium,60.0,6.67,https://www.lekkeslaap.co.za/accommodation/bly-in-styl,2026-06-27T11:22:33.756257
45350.0,Conductors Inn,B&B,893.0,Mid-Range,12.0,1.11,https://www.lekkeslaap.co.za/accommodation/conductors-inn,2026-06-27T11:22:33.756257
105074.0,Tree Top View Selfsorg,Self Catering,1215.0,Premium,50.0,5.56,https://www.lekkeslaap.co.za/accommodation/tree-top-selfsorg,2026-06-27T11:22:33.756257
56678.0,FG Desert Rose,Self Catering,1858.0,Premium,13.0,1.44,https://www.lekkeslaap.co.za/accommodation/first-group-desert-rose,2026-06-27T11:22:33.756257
101231.0,On The Beach No.4,Self Catering,2000.0,Premium,17.0,1.89,https://www.lekkeslaap.co.za/accommodation/on-the-beach-no4,2026-06-27T11:22:33.756257
73886.0,Carmiya Garden Studio,Self Catering,1250.0,Premium,36.0,4.0,https://www.lekkeslaap.co.za/accommodation/carmiya-garden-studio,2026-06-27T11:22:33.756257
109943.0,Casa Blanca Boutique Hotel,Hotel,1755.0,Premium,2.0,0.22,https://www.lekkeslaap.co.za/accommodation/casa-blanca-boutique-hotel,2026-06-27T11:22:33.756257
72706.0,On The Beach 11,Self Catering,4500.0,Luxury,39.0,5.42,https://www.lekkeslaap.co.za/accommodation/on-the-beach-99,2026-06-27T11:22:33.756257
40980.0,Kamaku Guesthouse,Guest House,1150.0,Mid-Range,44.0,4.07,https://www.lekkeslaap.co.za/accommodation/kamaku-guesthouse,2026-06-27T11:22:33.756257
113273.0,Bree Street Apartment,Self Catering,1300.0,Premium,10.0,1.11,https://www.lekkeslaap.co.za/accommodation/bree-street-apartment,2026-06-27T11:22:33.756257
15888.0,Simon's Town Penthouse,Self Catering,2750.0,Luxury,16.0,2.22,https://www.lekkeslaap.co.za/accommodation/simons-town-penthouse,2026-06-27T11:22:33.756257
80060.0,Grandview Guesthouse,Guest House,825.0,Mid-Range,105.0,9.72,https://www.lekkeslaap.co.za/accommodation/grandview-guesthouse,2026-06-27T11:22:33.756257
50220.0,Two Bedroom @ Cape Town Beachfront Apartments,Self Catering,2360.0,Premium,45.0,5.0,https://www.lekkeslaap.co.za/accommodation/cape-town-beachfront-apartments,2026-06-27T11:22:33.756257
129211.0,Selah Farm,Self Catering,966.0,Mid-Range,12.0,1.11,https://www.lekkeslaap.co.za/accommodation/selah-15,2026-06-27T11:22:33.756257
15376.0,4 on Varneys,Guest House,2200.0,Premium,35.0,3.89,https://www.lekkeslaap.co.za/accommodation/4-on-varneys,2026-06-27T11:22:33.756257
136239.0,Bikini Beach House,Self Catering,2334.0,Premium,23.0,2.56,https://www.lekkeslaap.co.za/accommodation/bikini-beach-house,2026-06-27T11:22:33.756257
30395.0,"Son, See, en Sundowners",Self Catering,1500.0,Premium,124.0,13.78,https://www.lekkeslaap.co.za/accommodation/son-see-en-sundowners,2026-06-27T11:22:33.756257
251.0,Antrim Villa,Guest House,920.0,Mid-Range,47.0,4.35,https://www.lekkeslaap.co.za/accommodation/antrim-collection,2026-06-27T11:22:33.756257
93962.0,9 on Winkle Boutique Guesthouse,Guest House,1101.0,Mid-Range,152.0,14.07,https://www.lekkeslaap.co.za/accommodation/9-on-winkle,2026-06-27T11:22:33.756257
1654.0,Old Mill Lodge & Restaurant,Lodge,810.0,Mid-Range,1080.0,100.0,https://www.lekkeslaap.co.za/accommodation/old-mill-country-lodge-a-la-carte-restaurant,2026-06-27T11:22:33.756257
45652.0,'n Gatvol,Self Catering,1645.0,Premium,74.0,8.22,https://www.lekkeslaap.co.za/accommodation/gatvol-oos,2026-06-27T11:22:33.756257
3028.0,De Oude Meul Country Lodge and Restaurant,Guest House,732.0,Mid-Range,447.0,41.39,https://www.lekkeslaap.co.za/accommodation/de-oude-meul-country-lodge-and-restaurant,2026-06-27T11:22:33.756257
120997.0,Cloverleigh Guest House,Guest House,840.0,Mid-Range,32.0,2.96,https://www.lekkeslaap.co.za/accommodation/cloverleigh-guest-house,2026-06-27T11:22:33.756257
126570.0,Garden Route Trail House,Self Catering,1680.0,Premium,13.0,1.44,https://www.lekkeslaap.co.za/accommodation/garden-route-trail-house,2026-06-27T11:22:33.756257
110959.0,Karoo Retreat Gastehuis,Guest House,1085.0,Mid-Range,124.0,11.48,https://www.lekkeslaap.co.za/accommodation/karoo-retreat-gastehuis,2026-06-27T11:22:33.756257
116547.0,Ria's Rest Self Catering Cottage,Self Catering,853.0,Mid-Range,12.0,1.11,https://www.lekkeslaap.co.za/accommodation/rias-rest-self-catering-flatlet,2026-06-27T11:22:33.756257
107930.0,Island View,Self Catering,625.0,Budget,17.0,1.26,https://www.lekkeslaap.co.za/accommodation/cycr1,2026-06-27T11:22:33.756257
85285.0,Outentique Accommodation,Guest House,563.0,Budget,66.0,4.89,https://www.lekkeslaap.co.za/accommodation/outentique-accommodation,2026-06-27T11:22:33.756257
10720.0,Brenton on Sea Cottages,Self Catering,1200.0,Premium,412.0,45.78,https://www.lekkeslaap.co.za/accommodation/brenton-on-sea-cottages,2026-06-27T11:22:33.756257
103032.0,Serenity Dome @ Pom' Gratz,Self Catering,1234.0,Premium,36.0,4.0,https://www.lekkeslaap.co.za/accommodation/pom-gratz,2026-06-27T11:22:33.756257
12777.0,High Season Farm Luxury Cottages & Venue,Self Catering,2400.0,Premium,61.0,6.78,https://www.lekkeslaap.co.za/accommodation/high-season-farm-luxury-cottages,2026-06-27T11:22:33.756257
113116.0,WildWood Ocean Cabin,Self Catering,2700.0,Luxury,26.0,3.61,https://www.lekkeslaap.co.za/accommodation/melkhout-woud-sprokieshuis,2026-06-27T11:22:33.756257
140322.0,Coastline Serenity Hump Back,Self Catering,754.0,Mid-Range,15.0,1.39,https://www.lekkeslaap.co.za/accommodation/coastline-serenity-hump-back,2026-06-27T11:22:33.756257
85215.0,The Heidelberger Self-catering Guest Suite,Self Catering,1305.0,Premium,71.0,7.89,https://www.lekkeslaap.co.za/accommodation/the-heidelberger,2026-06-27T11:22:33.756257
97526.0,Jock's View,Self Catering,2200.0,Premium,23.0,2.56,https://www.lekkeslaap.co.za/accommodation/jocks-view,2026-06-27T11:22:33.756257
139700.0,Coastline Serenity Southern Star,Self Catering,1005.0,Mid-Range,22.0,2.04,https://www.lekkeslaap.co.za/accommodation/coastline-serenity,2026-06-27T11:22:33.756257
20233.0,The Blue Cow Barn – Boutique Farm Accommodation,B&B,959.0,Mid-Range,171.0,15.83,https://www.lekkeslaap.co.za/accommodation/the-blue-cow-barn-boutique-farm-accommodation,2026-06-27T11:22:33.756257
113213.0,FynBossies,Self Catering,1575.0,Premium,30.0,3.33,https://www.lekkeslaap.co.za/accommodation/fynbossie-12,2026-06-27T11:22:33.756257
78862.0,18 Storm Sea,Self Catering,1466.0,Premium,76.0,8.44,https://www.lekkeslaap.co.za/accommodation/18-storm-sea,2026-06-27T11:22:33.756257
78025.0,MINT Hotel 84 on Katherine,Self Catering,910.0,Mid-Range,52.0,4.81,https://www.lekkeslaap.co.za/accommodation/mint-hotel-84-on-katherine,2026-06-27T11:22:33.756257
73543.0,Lekkerrus Gastehuis,Guest House,765.0,Mid-Range,40.0,3.7,https://www.lekkeslaap.co.za/accommodation/lekkerrus-gastehuis,2026-06-27T11:22:33.756257
53692.0,Kyalami Creek Luxury Apartments,Self Catering,1360.0,Premium,28.0,3.11,https://www.lekkeslaap.co.za/accommodation/kyalami-creek-luxury-apartments,2026-06-27T11:22:33.756257
693.0,No 5 on Franschoek,B&B,969.0,Mid-Range,40.0,3.7,https://www.lekkeslaap.co.za/accommodation/no-5-on-franschoek,2026-06-27T11:22:33.756257
7215.0,Agterplaas,Guest House,1402.0,Premium,16.0,1.78,https://www.lekkeslaap.co.za/accommodation/agterplaas,2026-06-27T11:22:33.756257
1077.0,Cherry Tree Cottage Linden B&B,Guest House,1112.0,Mid-Range,39.0,3.61,https://www.lekkeslaap.co.za/accommodation/cherry-tree-cottage-b-b,2026-06-27T11:22:33.756257
2566.0,Afrique Boutique Hotel OR Tambo,Hotel,2295.0,Premium,59.0,6.56,https://www.lekkeslaap.co.za/accommodation/afrique-boutique-hotel,2026-06-27T11:22:33.756257
388.0,Woodpecker's Inn Guest House,Guest House,1530.0,Premium,13.0,1.44,https://www.lekkeslaap.co.za/accommodation/woodpeckers-inn,2026-06-27T11:22:33.756257
28625.0,Belvedere Estate Nomad Lodge,B&B,1290.0,Premium,14.0,1.56,https://www.lekkeslaap.co.za/accommodation/belvedere-estate-luxury-guest-lodge,2026-06-27T11:22:33.756257
80845.0,Bosveld In Die Stad 2 Guesthouse,Guest House,650.0,Budget,80.0,5.93,https://www.lekkeslaap.co.za/accommodation/bosveld-in-die-stad-2,2026-06-27T11:22:33.756257
11326.0,Boord Gastehuis,B&B,1188.0,Mid-Range,122.0,11.3,https://www.lekkeslaap.co.za/accommodation/boord-guesthouse,2026-06-27T11:22:33.756257
112376.0,Pearl of the Paarl,Self Catering,1360.0,Premium,27.0,3.0,https://www.lekkeslaap.co.za/accommodation/26-queens-terrace,2026-06-27T11:22:33.756257
61545.0,Vlettershof Guest House,Guest House,846.0,Mid-Range,108.0,10.0,https://www.lekkeslaap.co.za/accommodation/vlettershof-guest-house,2026-06-27T11:22:33.756257
117990.0,Kloofhuis,Self Catering,950.0,Mid-Range,56.0,5.19,https://www.lekkeslaap.co.za/accommodation/kloofhuis,2026-06-27T11:22:33.756257
78011.0,Wildeberg Elephants Trail Cottage,Self Catering,2650.0,Luxury,52.0,7.22,https://www.lekkeslaap.co.za/accommodation/elephants-trail-cottage,2026-06-27T11:22:33.756257
100381.0,The Botanical House,Self Catering,1260.0,Premium,14.0,1.56,https://www.lekkeslaap.co.za/accommodation/the-botanical-house,2026-06-27T11:22:33.756257
27958.0,Domaine Coutelier,Self Catering,468.0,Budget,159.0,11.78,https://www.lekkeslaap.co.za/accommodation/domaine-coutelier,2026-06-27T11:22:33.756257
72266.0,Lank-gewag Cottages,Self Catering,1565.0,Premium,123.0,13.67,https://www.lekkeslaap.co.za/accommodation/lank-gewag-cottages,2026-06-27T11:22:33.756257
141744.0,Kleine Nest@Foxglove,Self Catering,734.0,Mid-Range,8.0,0.74,https://www.lekkeslaap.co.za/accommodation/kleine-nestfoxglove,2026-06-27T11:22:33.756257
65888.0,Uitkyk House,Self Catering,2990.0,Luxury,103.0,14.31,https://www.lekkeslaap.co.za/accommodation/uitkyk-house,2026-06-27T11:22:33.756257
127244.0,Le Petit Karoo,Guest House,867.0,Mid-Range,33.0,3.06,https://www.lekkeslaap.co.za/accommodation/le-petit-karoo,2026-06-27T11:22:33.756257
35579.0,2-Bedroom Chalet,Self Catering,1400.0,Premium,32.0,3.56,https://www.lekkeslaap.co.za/accommodation/tamboershoek,2026-06-27T11:22:33.756257
94765.0,Stonebreaker Country Lodge,Lodge,850.0,Mid-Range,135.0,12.5,https://www.lekkeslaap.co.za/accommodation/stonebreaker-country-lodge,2026-06-27T11:22:33.756257
4559.0,Schulteheim Hotel,Hotel,1200.0,Premium,158.0,17.56,https://www.lekkeslaap.co.za/accommodation/schulteheim-hotel,2026-06-27T11:22:33.756257
6096.0,Berluda Farmhouse and Cottages,Guest House,2142.0,Premium,67.0,7.44,https://www.lekkeslaap.co.za/accommodation/berluda-farmhouse-and-cottages,2026-06-27T11:22:33.756257
45361.0,The Kliphuis,Self Catering,2550.0,Luxury,48.0,6.67,https://www.lekkeslaap.co.za/accommodation/the-kliphuis,2026-06-27T11:22:33.756257
101392.0,Sands Beach Breaks Manors,Self Catering,2023.0,Premium,21.0,2.33,https://www.lekkeslaap.co.za/accommodation/sands-beach-breaks-manor,2026-06-27T11:22:33.756257
61039.0,205 Les Mouettes,Self Catering,2233.0,Premium,48.0,5.33,https://www.lekkeslaap.co.za/accommodation/205-les-mouettes-13,2026-06-27T11:22:33.756257
