region_id,region,country
1,Namibia,Namibia
2,Cape Town,South Africa
3,Garden Route,South Africa
4,Overberg,South Africa
5,Johannesburg,South Africa
6,Cape Winelands,South Africa
7,Karoo,South Africa
8,Cape Route 62,South Africa
9,Ballito,South Africa
10,Pretoria,South Africa
11,Panorama Route,South Africa
12,Mossel Bay,South Africa
13,Gqeberha Port Elizabeth,South Africa
14,Durban,South Africa
15,Umhlanga,South Africa
16,Clarens,South Africa
17,Hartbeespoort,South Africa
18,Namaqualand,South Africa
19,Kruger National Park,South Africa
20,Bela Bela,South Africa
21,Sarah Baartman District,South Africa
22,Escape From Cape Town,South Africa
23,Escape From Johannesburg,South Africa
24,Escape From Durban,South Africa
25,Jeffreys Bay,South Africa
26,Port Alfred,South Africa
27,Port Edward,South Africa
28,Yzerfontein,South Africa
29,St Francis,South Africa
30,Langebaan,South Africa
31,Still Bay,South Africa
32,Onrus,South Africa
33,Marloth Park,South Africa
34,Hoedspruit,South Africa
35,Thabazimbi,South Africa
36,Mookgopong,South Africa
37,Skeerpoort,South Africa
38,Vaalwater,South Africa
39,Hazyview,South Africa
40,Tzaneen,South Africa
41,Timbavati Private Nature Reserve,South Africa
42,Pilanesberg National Park,South Africa
43,Thornybush Game Reserve,South Africa
44,Sabi Sand Game Reserve,South Africa
45,Dinokeng Game Reserve,South Africa
46,Balule Nature Reserve,South Africa
47,Addo Elephant Park,South Africa
48,Kalahari,South Africa
49,Hluhluwe,South Africa
50,Midlands Meander,South Africa
51,Magoebaskloof,South Africa
52,Tsitsikamma,South Africa
53,West Coast,South Africa
54,Bojanala,South Africa
55,Stellenbosch,South Africa
56,Franschhoek,South Africa
57,Constantia Cape Town,South Africa
58,Wellington,South Africa
59,Helderberg,South Africa
60,Robertson,South Africa
61,Vredendal,South Africa
62,Swartland,South Africa
63,Tulbagh,South Africa
64,Paarl,South Africa
65,Elgin,South Africa
66,Vanderbijlpark,South Africa
67,Kenton On Sea,South Africa
68,Villiersdorp,South Africa
69,Dullstroom,South Africa
70,Gariep Dam,South Africa
71,Upington,South Africa
72,Malgas,South Africa
73,Parys,South Africa
74,Graaff Reinet,South Africa
75,Nieu Bethesda,South Africa
76,Beaufort West,South Africa
77,Prince Albert,South Africa
78,Victoria West,South Africa
79,Oudtshoorn,South Africa
80,Sutherland,South Africa
81,Willowmore,South Africa
82,Middelburg Karoo,South Africa
83,Barrydale,South Africa
84,Ladismith,South Africa
85,Nieuwoudtville,South Africa
86,Tankwa Karoo,South Africa
87,Vanrhynsdorp,South Africa
88,Kamieskroon,South Africa
89,Clanwilliam,South Africa
90,Springbok,South Africa
91,Cederberg,South Africa
92,Darling,South Africa
93,Plettenberg Bay,South Africa
94,Pearly Beach,South Africa
95,Pringle Bay,South Africa
96,Simon S Town,South Africa
97,Betty S Bay,South Africa
98,Wilderness,South Africa
99,Kleinmond,South Africa
100,Hermanus,South Africa
101,Fish Hoek,South Africa
102,Gansbaai,South Africa
103,St Helena Bay,South Africa
104,Strandfontein West Coast,South Africa
105,Dwarskersbos,South Africa
106,Lamberts Bay,South Africa
107,Paternoster,South Africa
108,Jacobs Bay,South Africa
109,Elands Bay,South Africa
110,Velddrif,South Africa
111,Saldanha,South Africa
112,Homepage,South Africa
113,Humansdorp,South Africa
114,Kimberley,South Africa
