install_id,test_id,test_name,variant,variant_label,install_date,channel,device_os,cpi_zar,ltv_zar,retention_d1,retention_d7,retention_d30,booked_in_app
AB3_000000,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-03,Meta Ads,android,16.93,2315.79,0.488,0.192,0.191,False
AB3_000001,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-03-14,Google UAC,ios,13.49,2011.39,0.51,0.393,0.337,False
AB3_000002,AB-003,App Install Creative,A,Generic CTA (Control),2026-04-22,Meta Ads,ios,35.24,1843.54,0.448,0.262,0.147,False
AB3_000003,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-04-05,Meta Ads,android,23.32,2628.43,0.446,0.229,0.146,False
AB3_000004,AB-003,App Install Creative,A,Generic CTA (Control),2026-03-19,Google UAC,android,23.57,562.31,0.485,0.252,0.175,False
AB3_000005,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-02-21,Google UAC,ios,24.07,745.56,0.544,0.444,0.21,False
AB3_000006,AB-003,App Install Creative,A,Generic CTA (Control),2026-02-20,Meta Ads,android,22.8,1880.33,0.456,0.206,0.13,False
AB3_000007,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-01-17,Google UAC,ios,15.52,1515.42,0.607,0.367,0.16,False
AB3_000008,AB-003,App Install Creative,A,Generic CTA (Control),2026-05-11,Google UAC,android,21.93,2558.78,0.417,0.296,0.135,False
AB3_000009,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-27,Meta Ads,android,18.3,2359.84,0.57,0.35,0.222,False
AB3_000010,AB-003,App Install Creative,A,Generic CTA (Control),2026-04-06,TikTok Ads,ios,25.75,1704.54,0.299,0.217,0.223,False
AB3_000011,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-04-21,Google UAC,android,18.11,1246.24,0.51,0.404,0.193,False
AB3_000012,AB-003,App Install Creative,A,Generic CTA (Control),2026-01-18,Meta Ads,android,28.89,1582.95,0.26,0.296,0.233,False
AB3_000013,AB-003,App Install Creative,B,Price-anchor CTA (Variant),2026-05-24,Meta Ads,android,20.05,1673.21,0.47,0.361,0.26,False
